Ideus code;EAN barcode;Product name;Availability;Photo;Product type;Power supply;Power;Colour;Lampholder type;Dedicated light source;Replacing the light source;Dimmer compatibility;Colour temperature;Light colour;Luminous flux;Luminous beam angle;Ra;Light source lifetime;Power switch;Adjusting the lighting direction;IP;Possibility of outdoor use;Minimum distance from a lit object;Electric shock protection class;CE;Material;Comments;Height;Width;Depth;Mounting hole x;Mounting hole y
02748;5901477327483;REX 60 WHITE;100;02748.jpg;Hermetic fixture;220-240V 50/60Hz;max 60 W;white;E27;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;no;54;yes;0.5;2;yes;bakelite, polycarbonate PC;;110;110;185;0;0;
02753;5901477327537;ERSTE LED E27 8W WW;100;02753.jpg;SMD LED lamp;230V 50Hz;8 W;white;E27;;;no;3000;warm white;710 lm;160;>80;25000;;;0;;0;0;yes;polycarbonate PC, aluminium;;108;60;60;0;0;
02754;5901477327544;ERSTE LED E27 10W WW;100;02754.jpg;SMD LED lamp;230V 50Hz;10 W;white;E27;;;no;3000;warm white;930 lm;160;>80;25000;;;0;;0;0;yes;polycarbonate PC, aluminium;;110;60;60;0;0;
02755;5901477327551;ERSTE LED E27 12W WW;0;02755.jpg;SMD LED lamp;230V 50Hz;12 W;white;E27;;;no;3000;warm white;1150 lm;160;>80;25000;;;0;;0;0;yes;polycarbonate PC, aluminium;;112;60;60;0;0;
02757;5901477327575;LARA LED GU10 4W WW;0;02757.jpg;SMD LED lamp;230V 50Hz;4 W;white;GU10;;;no;3000;warm white;380 lm;100;>80;25000;;;0;;0;0;yes;polycarbonate PC, aluminium;;54;50;50;0;0;
02758;5901477327582;LARA LED GU10 6W WW;0;02758.jpg;SMD LED lamp;230V 50Hz;6 W;white;GU10;;;no;3000;warm white;580 lm;100;>80;25000;;;0;;0;0;yes;polycarbonate PC, aluminium;;54;50;50;0;0;
02765;5901477327650;BIT SMD LED G9 2,5W WW;100;02765.jpg;SMD LED lamp;230V 50Hz;2,5 W;;G9;;;no;3000;warm white;205 lm;300;>80;25000;;;0;;0;0;yes;polycarbonate PC;;48;16;12;0;0;
02766;5901477327667;BIT SMD LED G9 2,5W CW;100;02766.jpg;SMD LED lamp;230V 50Hz;2,5 W;;G9;;;no;6500;cold white;217 lm;300;>80;25000;;;0;;0;0;yes;polycarbonate PC;;48;16;12;0;0;
02769;5901477327698;KENT LED 1D WW;55;02769.jpg;Wall & ceiling SMD LED lighting fitting;230V 50Hz;6 W;chrome/wenge;;SMD LED, in set;no;no;3000;warm white;490 lm;120;>80;30000;no;yes;20;no;0.5;1;yes;stainless steel, plastic;;175;100;100;0;0;
02770;5901477327704;KENT LED 2L WW;5;02770.jpg;Wall & ceiling SMD LED lighting fitting;230V 50Hz;2 x 6 W;chrome/wenge;;SMD LED, in set;no;no;3000;warm white;2 x 490 lm;120;>80;30000;no;yes;20;no;0.5;1;yes;stainless steel, plastic;;175;250;60;0;0;
