Ideus code;EAN barcode;Product name;Availability;Photo;Product type;Power supply;Power;Colour;Lampholder type;Dedicated light source;Replacing the light source;Dimmer compatibility;Colour temperature;Light colour;Luminous flux;Luminous beam angle;Ra;Light source lifetime;Power switch;Adjusting the lighting direction;IP;Possibility of outdoor use;Minimum distance from a lit object;Electric shock protection class;CE;Material;Comments;Height;Width;Depth;Mounting hole x;Mounting hole y
03972;5901477339721;BREGO LED 9W CHROME NW;100;03972.jpg;Decorative SMD LED fitting;230V 50Hz;9 W;chrome;;SMD LED, in set;no;no;4000;neutral white;500 lm;120;>80;30000;no;no;44;no;0.3;1;yes;stainless steel, acrylic glass;;50;420;75;0;0;
03973;5901477339738;BREGO LED 14W CHROME NW;100;03973.jpg;Decorative SMD LED fitting;230V 50Hz;14 W;chrome;;SMD LED, in set;no;no;4000;neutral white;860 lm;120;>80;30000;no;no;44;no;0.3;1;yes;stainless steel, acrylic glass;;50;620;75;0;0;
03974;5901477339745;BONO C CHROME;100;03974.jpg;Decorative ring;;max 50 W;chrome;;LED - GU10/MR16;yes;;0;;;0;;0;no;yes;20;no;0.5;0;yes;steel sheet;;27;88;88;63;0;
03975;5901477339752;BONO C MATCHR;100;03975.jpg;Decorative ring;;max 50 W;matt chrome;;LED - GU10/MR16;yes;;0;;;0;;0;no;yes;20;no;0.5;0;yes;steel sheet;;27;88;88;63;0;
03976;5901477339769;BONO C WHITE;100;03976.jpg;Decorative ring;;max 50 W;white;;LED - GU10/MR16;yes;;0;;;0;;0;no;yes;20;no;0.5;0;yes;steel sheet;;27;88;88;63;0;
03977;5901477339776;BONO C BLACK;100;03977.jpg;Decorative ring;;max 50 W;black;;LED - GU10/MR16;yes;;0;;;0;;0;no;yes;20;no;0.5;0;yes;steel sheet;;27;88;88;63;0;
03978;5901477339783;BONO D CHROME;100;03978.jpg;Decorative ring;;max 50 W;chrome;;LED - GU10/MR16;yes;;0;;;0;;0;no;yes;20;no;0.5;0;yes;steel sheet;;27;88;88;63;0;
03979;5901477339790;BONO D MATCHR;100;03979.jpg;Decorative ring;;max 50 W;matt chrome;;LED - GU10/MR16;yes;;0;;;0;;0;no;yes;20;no;0.5;0;yes;steel sheet;;27;88;88;63;0;
03980;5901477339806;BONO D WHITE;100;03980.jpg;Decorative ring;;max 50 W;white;;LED - GU10/MR16;yes;;0;;;0;;0;no;yes;20;no;0.5;0;yes;steel sheet;;27;88;88;63;0;
03981;5901477339813;BONO D BLACK;100;03981.jpg;Decorative ring;;max 50 W;black;;LED - GU10/MR16;yes;;0;;;0;;0;no;yes;20;no;0.5;0;yes;steel sheet;;27;88;88;63;0;
03982;5901477339820;BOGNA GU10 1C WHITE;100;03982.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;max 20 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;plastic, polycarbonate PC;;147;120;120;0;0;
03983;5901477339837;BOGNA GU10 1C BLACK;100;03983.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;max 20 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;plastic, polycarbonate PC;;147;120;120;0;0;
03984;5901477339844;BOGNA GU10 2C WHITE;100;03984.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;2 x max 20 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;plastic, polycarbonate PC;;147;130;130;0;0;
03985;5901477339851;BOGNA GU10 2C BLACK;100;03985.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;2 x max 20 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;plastic, polycarbonate PC;;147;130;130;0;0;
03986;5901477339868;BOGNA GU10 3C WHITE;100;03986.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 20 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;plastic, polycarbonate PC;;147;150;150;0;0;
03987;5901477339875;BOGNA GU10 3C BLACK;100;03987.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 20 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;plastic, polycarbonate PC;;147;150;150;0;0;
03988;5901477339882;TABLET LED 20W BLACK RGBW;100;03988.jpg;SMD LED floodlight;230V 50Hz;20 W;black;;SMD LED, in set;no;no;0;multicolour;2070 lm;120;>80;30000;no;yes;65;yes;0.5;1;yes;aluminium alloy cast, glass;driver included, light color adjustment by remote control;114;148;18;0;0;
03989;5901477339899;ZULA DWL GU10 WHITE;100;03989.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;no;20;no;0.5;1;yes;aluminium alloy cast, acrylic glass;;100;55;55;0;0;
03990;5901477339905;ZULA DWL GU10 BLACK;100;03990.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;no;20;no;0.5;1;yes;aluminium alloy cast, acrylic glass;;100;55;55;0;0;
03991;5901477339912;ZULA TRA GU10 WHITE;100;03991.jpg;Track lighting fitting;220-240V 50/60Hz;max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;;180;75;55;0;0;
03992;5901477339929;ZULA TRA GU10 BLACK;100;03992.jpg;Track lighting fitting;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;;180;75;55;0;0;
03993;5901477339936;ZULA TRA 20 GU10 WHITE;100;03993.jpg;Track lighting fitting;220-240V 50/60Hz;max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;no;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;power cable 100 cm long;1200;75;55;0;0;
03994;5901477339943;ZULA TRA 20 GU10 BLACK;100;03994.jpg;Track lighting fitting;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;no;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;power cable 100 cm long;1200;75;55;0;0;
03995;5901477339950;ZULA SPT GU10 WHITE;100;03995.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;aluminium alloy cast, acrylic glass;;165;60;60;0;0;
03996;5901477339967;ZULA SPT GU10 BLACK;100;03996.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;aluminium alloy cast, acrylic glass;;165;60;60;0;0;
03997;5901477339974;ZULA WLL GU10 WHITE;100;03997.jpg;Decorative fitting;220-240V 50/60Hz;max 35 W;white;GU10;LED;yes;;0;;;0;;0;yes;yes;20;no;0.5;1;yes;aluminium alloy cast, acrylic glass;;140;60;85;0;0;
03998;5901477339981;ZULA WLL GU10 BLACK;100;03998.jpg;Decorative fitting;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;yes;yes;20;no;0.5;1;yes;aluminium alloy cast, acrylic glass;;140;60;85;0;0;
03999;5901477339998;POP LED 1W;100;03999.jpg;Under-cupboard linear fitting;DC 5 V 2 A MAX microUSB;0,8 W;white;;LED, in set;no;;6500;cold white;55 lm;120;>80;20000;yes;no;20;no;0.3;3;yes;plastic;portable luminaire, with PIR motion sensor, rechargeable battery included, works with ambient light below 200lx, range 130°,  maximum motion detection range is 3m (<24°), lighting time 15s;75;83;23;0;0;
04000;5901477340000;BOA LED WHITE RGB;100;04000.jpg;SMD LED desk lamp;230V 50Hz;max 6 W;white;;SMD LED, in set;no;tak, ściemniacz w komplecie;4000;neutral white;max 280 lm;120;>80;30000;yes;yes;20;no;0.3;2;yes;ABS;driver included, three-stage lighting regulation (1W, 3W, 6W), adjustable base light color (RGB), touch switch;320;110;200;0;0;
04001;5901477340017;BOA LED BLACK RGB;100;04001.jpg;SMD LED desk lamp;230V 50Hz;max 6 W;black;;SMD LED, in set;no;tak, ściemniacz w komplecie;4000;neutral white;max 280 lm;120;>80;30000;yes;yes;20;no;0.3;2;yes;ABS;driver included, three-stage lighting regulation (1W, 3W, 6W), adjustable base light color (RGB), touch switch;320;110;200;0;0;
04002;5901477340024;GIBON LED WHITE/BROWN;100;04002.jpg;SMD LED desk lamp;230V 50Hz;max 8 W;white/brown;;SMD LED, in set;no;tak, ściemniacz w komplecie;2700;warm white/neutral white/cold white;max 280 lm;120;>80;30000;yes;yes;20;no;0.3;2;yes;ABS;driver included, brightness and white light adjustable (WW, NW, CW), touch switch;295;77;245;0;0;
04003;5901477340031;GIBON LED BLACK;100;04003.jpg;SMD LED desk lamp;230V 50Hz;max 8 W;black;;SMD LED, in set;no;tak, ściemniacz w komplecie;2700;warm white/neutral white/cold white;max 280 lm;120;>80;30000;yes;yes;20;no;0.3;2;yes;ABS;driver included, brightness and white light adjustable (WW, NW, CW), touch switch;295;77;245;0;0;
04004;5901477340048;BRUNO GU10 C BLACK;100;04004.jpg;Hermetic fixture;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.3;1;yes;aluminium, glass;;158;100;100;0;0;
04005;5901477340055;BRUNO 2xGU10 C BLACK;100;04005.jpg;Hermetic fixture;220-240V 50/60Hz;2 x max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.3;1;yes;aluminium, glass;;230;100;100;0;0;
04006;5901477340062;BRUNO GU10 D BLACK;100;04006.jpg;Hermetic fixture;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.3;1;yes;aluminium, glass;;158;100;100;0;0;
04007;5901477340079;BRUNO 2xGU10 D BLACK;100;04007.jpg;Hermetic fixture;220-240V 50/60Hz;2 x max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.3;1;yes;aluminium, glass;;230;100;100;0;0;
04008;5901477340086;FABIO LED C 24W NW;100;04008.jpg;Ceiling SMD LED light fitting;230V 50Hz;24 W;white;;SMD LED, in set;no;no;4000;neutral white;1680 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;;65;390;390;0;0;
04009;5901477340093;FABIO LED C 48W NW;100;04009.jpg;Ceiling SMD LED light fitting;230V 50Hz;48 W;white;;SMD LED, in set;no;no;4000;neutral white;3360 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;;75;485;485;0;0;
04010;5901477340109;WENA LED D 24W;100;04010.jpg;Ceiling SMD LED light fitting;230V 50Hz;max 24 W;white;;SMD LED, in set;no;tak, ściemniacz w komplecie;3000;warm white/neutral white/cold white;max 2250 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;driver included, brightness and white light adjustable by remote controller;65;340;340;0;0;
04011;5901477340116;WENA LED D 48W;100;04011.jpg;Ceiling SMD LED light fitting;230V 50Hz;max 48 W;white;;SMD LED, in set;no;tak, ściemniacz w komplecie;3000;warm white/neutral white/cold white;max 4410 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;driver included, brightness and white light adjustable by remote controller;75;485;485;0;0;
04012;5901477340123;ARIEL LED C 48W;100;04012.jpg;Ceiling SMD LED light fitting;230V 50Hz;max 48 W;silver;;SMD LED, in set;no;tak, ściemniacz w komplecie;3000;warm white/neutral white/cold white;max 4050 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;driver included, brightness and white light adjustable by remote controller;90;510;510;0;0;
04013;5901477340130;ARIEL LED D 48W;100;04013.jpg;Ceiling SMD LED light fitting;230V 50Hz;max 48 W;silver;;SMD LED, in set;no;tak, ściemniacz w komplecie;3000;warm white/neutral white/cold white;max 3980 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;driver included, brightness and white light adjustable by remote controller;80;505;505;0;0;
04014;5901477340147;TEKLA LED C 12W NW;100;04014.jpg;Hermetic fixture;230V 50Hz;12 W;black;;SMD LED, in set;no;no;4000;neutral white;1020 lm;140;>80;20000;no;no;54;yes;0.3;2;yes;polycarbonate PC;;160;160;100;0;0;
04015;5901477340154;TEKLA LED D 12W NW;100;04015.jpg;Hermetic fixture;230V 50Hz;12 W;black;;SMD LED, in set;no;no;4000;neutral white;1020 lm;140;>80;20000;no;no;54;yes;0.3;2;yes;polycarbonate PC;;160;160;100;0;0;
04016;5901477340161;GAMP GU10 C BLACK;100;04016.jpg;Hermetic fixture;220-240V 50/60Hz;max 12 W;black;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.3;2;yes;polycarbonate PC;;80;68;89;0;0;
04017;5901477340178;GAMP 2xGU10 C BLACK;100;04017.jpg;Hermetic fixture;220-240V 50/60Hz;2 x max 12 W;black;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.3;2;yes;polycarbonate PC;;150;68;89;0;0;
04018;5901477340185;GAMP GU10 D BLACK;100;04018.jpg;Hermetic fixture;220-240V 50/60Hz;max 12 W;black;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.3;2;yes;polycarbonate PC;;80;68;89;0;0;
04019;5901477340192;GAMP 2xGU10 D BLACK;100;04019.jpg;Hermetic fixture;220-240V 50/60Hz;2 x max 12 W;black;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.3;2;yes;polycarbonate PC;;150;68;89;0;0;
04020;5901477340208;PRYMUS LED 12W BLACK NW;100;04020.jpg;Decorative SMD LED fitting;230V 50Hz;12 W;black/gold;;SMD LED, in set;no;no;4000;neutral white;740 lm;120;>80;30000;no;no;44;no;0.3;1;yes;stainless steel, polycarbonate PC;for operation in increased-humidity locations, e.g. bathrooms, with transformer;50;630;135;0;0;
04021;5901477340215;MAMBA LED 8W WHITE NW;100;04021.jpg;Decorative SMD LED fitting;230V 50Hz;8 W;white;;SMD LED, in set;no;no;4000;neutral white;590 lm;140;>80;30000;no;yes;44;no;0.3;1;yes;aluminium, plastic;for operation in increased-humidity locations, e.g. bathrooms, with transformer;85;400;120;0;0;
04022;5901477340222;MAMBA LED 12W WHITE NW;100;04022.jpg;Decorative SMD LED fitting;230V 50Hz;12 W;white;;SMD LED, in set;no;no;4000;neutral white;930 lm;140;>80;30000;no;yes;44;no;0.3;1;yes;aluminium, plastic;for operation in increased-humidity locations, e.g. bathrooms, with transformer;85;500;120;0;0;
04024;5901477340246;FRAPE LED PIR 1m 30 NW;100;04024.jpg;LED strip;DC 1,5 V 4 x AAA;2 W;white;;30 SMD LED 28x35, in set;no;;4000;neutral white;156 lm;140;>80;10000;yes;no;44;no;0.3;3;yes;FR-4;powered by DC 1,5V 4xAAA batteries, PIR sensor - Day / Night: Day - works with any light / Night - works with light <30lx, motion detection range 3m MAX (<24 ° C), lighting time from 10s to 12min, 120 ° motion detection angle;15;145;15;0;0;
04025;5901477340253;PIANO DWL GU10 WHITE;100;04025.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.2;2;yes;aluminium;;100;70;70;0;0;
04026;5901477340260;PIANO DWL GU10 BLACK;100;04026.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.2;2;yes;aluminium;;100;70;70;0;0;
04027;5901477340277;PIANO DWL GU10 BLACK/WHITE;100;04027.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;black/white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.2;2;yes;aluminium;;100;70;70;0;0;
04028;5901477340284;ORBIT LED C 14W WHITE NW;100;04028.jpg;Decorative SMD LED fitting;230V 50Hz;14 W;white;;SMD LED, in set;no;no;4000;neutral white;1340 lm;140;>80;25000;no;no;44;no;0.3;1;yes;steel sheet, acrylic glass;;240;220;53;0;0;
04029;5901477340291;SAM LED 2W;100;04029.jpg;Under-cupboard linear fitting;DC 1,5 V 4 x AAA;2 W;silver;;LED, in set;no;;6500;cold white;190 lm;120;>80;25000;no;no;20;no;0.3;3;yes;aluminium, polycarbonate PC;powered by DC 1,5V 4xAAA batteries, portable luminaire, with PIR motion sensor, works with ambient light below 20lx, range 120°,  maximum motion detection range is 1,5m (<24°), lighting time 30s;23;190;30;0;0;
04030;5901477340307;OTELLO LED C 6W+3W BLACK;100;04030.jpg;Decorative SMD LED fitting;230V 50Hz;6 W + 3 W;black;;SMD LED, in set;no;no;3000;warm white/neutral white;730 lm;160;>80;30000;yes;yes;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;driver included, 6W 3000K + 3W 4000K;146;146;80;0;0;
04031;5901477340314;OTELLO LED D 6W+3W BLACK;100;04031.jpg;Decorative SMD LED fitting;230V 50Hz;6 W + 3 W;black;;SMD LED, in set;no;no;3000;warm white/neutral white;730 lm;160;>80;30000;yes;yes;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;driver included, 6W 3000K + 3W 4000K;186;105;80;0;0;
04032;5901477340321;SOFIA 3xGU10 WHITE;100;04032.jpg;Track lighting fitting (3 pcs)/Track;220-240V 50/60Hz;3 x max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.3;1;yes;aluminium alloy cast, plastic;;170;1000;55;0;0;
04033;5901477340338;SOFIA 3xGU10 BLACK;100;04033.jpg;Track lighting fitting (3 pcs)/Track;220-240V 50/60Hz;3 x max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.3;1;yes;aluminium alloy cast, plastic;;170;1000;55;0;0;
04034;5901477340345;CONNECTOR X WHITE;100;04034.jpg;Track connector;220-240V 50/60Hz;;white;;;;;0;;;0;;0;;;20;no;0;2;yes;aluminium, copper, plastic;max 16A;19;105;105;0;0;
04035;5901477340352;CONNECTOR X BLACK;100;04035.jpg;Track connector;220-240V 50/60Hz;;black;;;;;0;;;0;;0;;;20;no;0;2;yes;aluminium, copper, plastic;max 16A;19;105;105;0;0;
04036;5901477340369;NORTON LED D 10W BLACK NW;100;04036.jpg;Hermetic fixture;230V 50Hz;10 W;black;;SMD LED, in set;no;no;4000;neutral white;910 lm;140;>80;30000;no;no;65;yes;0.3;2;yes;plastic;;140;270;95;0;0;
04037;5901477340376;NORTON LED D 10W SILVER NW;100;04037.jpg;Hermetic fixture;230V 50Hz;10 W;silver;;SMD LED, in set;no;no;4000;neutral white;1020 lm;140;>80;30000;no;no;65;yes;0.3;2;yes;plastic;;140;270;95;0;0;
04038;5901477340383;NORTON LED L 10W BLACK NW;100;04038.jpg;Hermetic fixture;230V 50Hz;10 W;black;;SMD LED, in set;no;no;4000;neutral white;810 lm;100;>80;30000;no;no;65;yes;0.3;2;yes;plastic;;130;260;130;0;0;
04039;5901477340390;NORTON LED L 10W SILVER NW;100;04039.jpg;Hermetic fixture;230V 50Hz;10 W;silver;;SMD LED, in set;no;no;4000;neutral white;905 lm;100;>80;30000;no;no;65;yes;0.3;2;yes;plastic;;130;260;130;0;0;
04040;5901477340406;SANTOR LED 2W CW;100;04040.jpg;SMD LED floodlight with a motion sensor;DC 3,7 V 1800 mAh Li-ion;2 W;black;;8 SMD LED, in set;no;;6500;cold white;200 lm;120;>80;15000;yes;yes;65;yes;0.3;3;yes;plastic, glass;rechargeable battery included, works with ambient light below 50lx, range 120°,  maximum motion detection range is 5m (<24°), lighting time 30s, possibility to turn off;175;145;30;0;0;
04041;5901477340413;LUBA C WHITE;100;04041.jpg;Decorative ring;;max 35 W;white;;LED - GU10/MR16;yes;;0;;;0;;0;no;yes;20;no;0.5;0;yes;aluminium;;25;93;93;80;0;
04042;5901477340420;LUBA C BLACK;100;04042.jpg;Decorative ring;;max 35 W;black;;LED - GU10/MR16;yes;;0;;;0;;0;no;yes;20;no;0.5;0;yes;aluminium;;25;93;93;80;0;
04043;5901477340437;LUBA D WHITE;100;04043.jpg;Decorative ring;;max 35 W;white;;LED - GU10/MR16;yes;;0;;;0;;0;no;yes;20;no;0.5;0;yes;aluminium;;25;93;93;80;0;
04044;5901477340444;LUBA D BLACK;100;04044.jpg;Decorative ring;;max 35 W;black;;LED - GU10/MR16;yes;;0;;;0;;0;no;yes;20;no;0.5;0;yes;aluminium;;25;93;93;80;0;
04045;5901477340451;INDI C GU10 WHITE;100;04045.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;no;20;no;0.3;1;yes;aluminium alloy cast, acrylic glass;;100;80;80;0;0;
04046;5901477340468;INDI C GU10 BLACK;100;04046.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;no;20;no;0.3;1;yes;aluminium alloy cast, acrylic glass;;100;80;80;0;0;
04047;5901477340475;INDI D GU10 WHITE;100;04047.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;no;20;no;0.3;1;yes;aluminium alloy cast, acrylic glass;;100;80;80;0;0;
04048;5901477340482;INDI D GU10 BLACK;100;04048.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;no;20;no;0.3;1;yes;aluminium alloy cast, acrylic glass;;100;80;80;0;0;
04051;5901477340512;HEL LED 32 0,06W CW;100;04051.jpg;Solar LED lamp;DC 1,2 V 1 x 2/3AAA 100 mAh NI-MH;0,06 W;chrome;;LED, in set;no;;6500;cold white;1 lm;120;>70;25000;yes;no;44;yes;0.3;3;yes;stainless steel, plastic;with rechargeable battery, duration time min 6 h;315;47;47;0;0;
04052;5901477340529;SIREN LED 7W CW;100;04052.jpg;SMD LED floodlight with a motion sensor;DC 3,7 V 2200 mAh Li-ion;7 W;black;;SMD LED, in set;no;;6500;cold white;680 lm;120;>70;15000;yes;yes;65;yes;0.3;3;yes;polycarbonate PC, ABS;rechargeable battery included, works with ambient light below 15lx, range 120°,  maximum motion detection range is 8m (<24°), lighting time 30s, possibility to turn off;155;243;106;0;0;
04055;5901477340550;ATENA E14 C WHITE;100;04055.jpg;Table lamp;220-240V 50/60Hz;max 40 W;white;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;yes;no;20;no;0.3;2;yes;ceramics, stainless steel, textile reinforced plastic;;255;160;160;0;0;
04056;5901477340567;ATENA E14 C BLACK;100;04056.jpg;Table lamp;220-240V 50/60Hz;max 40 W;black;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;yes;no;20;no;0.3;2;yes;ceramics, stainless steel, textile reinforced plastic;;255;160;160;0;0;
04057;5901477340574;ATENA E14 A WHITE;100;04057.jpg;Table lamp;220-240V 50/60Hz;max 40 W;white;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;yes;no;20;no;0.3;2;yes;ceramics, stainless steel, textile reinforced plastic;;270;150;150;0;0;
04058;5901477340581;ATENA E14 A BLACK;100;04058.jpg;Table lamp;220-240V 50/60Hz;max 40 W;black;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;yes;no;20;no;0.3;2;yes;ceramics, stainless steel, textile reinforced plastic;;270;150;150;0;0;
04061;5901477340611;OLGA LED D 12W WHITE CCT;100;04061.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;12 W;white;;SMD LED, in set;no;no;3000;warm white/neutral white/cold white;1200 lm;120;>80;30000;no;no;20;no;0.3;2;yes;plastic, polycarbonate PC;driver included, white light adjustable (WW, NW, CW), surface and recessed installation;17;164;164;0;0;
04062;5901477340628;OLGA LED D 18W WHITE CCT;100;04062.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;18 W;white;;SMD LED, in set;no;no;3000;warm white/neutral white/cold white;1840 lm;120;>80;30000;no;no;20;no;0.3;2;yes;plastic, polycarbonate PC;driver included, white light adjustable (WW, NW, CW), surface and recessed installation;17;217;217;0;0;
04063;5901477340635;OLGA LED D 24W WHITE CCT;100;04063.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;24 W;white;;SMD LED, in set;no;no;3000;warm white/neutral white/cold white;2420 lm;120;>80;30000;no;no;20;no;0.3;2;yes;plastic, polycarbonate PC;driver included, white light adjustable (WW, NW, CW), surface and recessed installation;17;292;292;0;0;
04064;5901477340642;UZO LED CLEAR E14 1,3W WW;100;04064.jpg;SMD LED lamp;230V 50Hz;1,3 W;;E14;;;no;3000;warm white;111 lm;160;82;25000;;;0;;0;0;yes;steel sheet, glass;;51;20;20;0;0;
04065;5901477340659;UZO LED CLEAR E14 1,3W NW;100;04065.jpg;SMD LED lamp;230V 50Hz;1,3 W;;E14;;;no;4000;neutral white;112 lm;160;82;25000;;;0;;0;0;yes;steel sheet, glass;;51;20;20;0;0;
04066;5901477340666;UZO LED MILKY E14 1,3W WW;100;04066.jpg;SMD LED lamp;230V 50Hz;1,3 W;;E14;;;no;3000;warm white;104 lm;160;82;25000;;;0;;0;0;yes;steel sheet, glass;;51;20;20;0;0;
04067;5901477340673;UZO LED MILKY E14 1,3W NW;100;04067.jpg;SMD LED lamp;230V 50Hz;1,3 W;;E14;;;no;4000;neutral white;109 lm;160;82;25000;;;0;;0;0;yes;steel sheet, glass;;51;20;20;0;0;
04068;5901477340680;TENOR GU10 1C WHITE;100;04068.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;max 20 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;44;no;0.3;1;yes;steel sheet, aluminium, glass;for operation in increased-humidity locations, e.g. bathrooms;160;70;70;0;0;
04069;5901477340697;TENOR GU10 1C BLACK;100;04069.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;max 20 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;44;no;0.3;1;yes;steel sheet, aluminium, glass;for operation in increased-humidity locations, e.g. bathrooms;160;70;70;0;0;
04070;5901477340703;TENOR GU10 2L WHITE;100;04070.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;2 x max 20 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;44;no;0.3;1;yes;steel sheet, aluminium, glass;for operation in increased-humidity locations, e.g. bathrooms;145;250;60;0;0;
04071;5901477340710;TENOR GU10 2L BLACK;100;04071.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;2 x max 20 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;44;no;0.3;1;yes;steel sheet, aluminium, glass;for operation in increased-humidity locations, e.g. bathrooms;145;250;60;0;0;
04072;5901477340727;TENOR GU10 3L WHITE;100;04072.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 20 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;44;no;0.3;1;yes;steel sheet, aluminium, glass;for operation in increased-humidity locations, e.g. bathrooms;145;390;60;0;0;
04073;5901477340734;TENOR GU10 3L BLACK;100;04073.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 20 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;44;no;0.3;1;yes;steel sheet, aluminium, glass;for operation in increased-humidity locations, e.g. bathrooms;145;390;60;0;0;
04074;5901477340741;TENOR GU10 3C WHITE;100;04074.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 20 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;44;no;0.3;1;yes;steel sheet, aluminium, glass;for operation in increased-humidity locations, e.g. bathrooms;150;220;220;0;0;
04075;5901477340758;TENOR GU10 3C BLACK;100;04075.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 20 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;44;no;0.3;1;yes;steel sheet, aluminium, glass;for operation in increased-humidity locations, e.g. bathrooms;150;220;220;0;0;
